"video_id","video_title","video_url","play_num","video_leng","video_date","like_num","dislike_num","tag","category","channel_id","thumbnail"
--ehqnP0kQ0,천하장사 중장비 l 타요 중장비송 l 자동차송 l 타요 장난감 동요 l 타요의 씽씽극장 l 인기동요,https://www.youtube.com/watch?v=--ehqnP0kQ0,467813,30,"2020-09-02 00:00:00.0",1757,1199,#타요노래 #천하장사중장비 #꼬마버스타요,키즈,tayokorean,http://i.ytimg.com/vi/--ehqnP0kQ0/hqdefault.jpg
--mW0jR9yUs,Emergency Vehicle Videos for Babies | Car Cartoons - Kids Channel,https://www.youtube.com/watch?v=--mW0jR9yUs,49197,34,"2020-03-27 00:00:00.0",179,95,"",키즈,KidsChannel,http://i.ytimg.com/vi/--mW0jR9yUs/hqdefault.jpg
-1H7s3KkTXc,누구 한명 갈때까지 마시기 with 비글즈,https://www.youtube.com/watch?v=-1H7s3KkTXc,700043,12,"2020-10-30 00:00:00.0",5971,248,"",game,UCAaLhok91QDrweyuDRsmjqQ,https://i.ytimg.com/vi/-1H7s3KkTXc/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBwsyCEvcZbuEtq2ZuiLyYOPVWEsw
-6akzspLTlM,?????????? ?? KEYWORD CARTOON | Umbrella??  | Larva Official Channel,https://www.youtube.com/watch?v=-6akzspLTlM,51125,33,"2020-10-20 00:00:00.0",505,47,#larva #larvacartoon #larvatuba,키즈,LarvaTuba,http://i.ytimg.com/vi/-6akzspLTlM/hqdefault.jpg
-78eI7t4_Zs,클레이로 거북이 만들기 | 바다 동물 클레이 | 동물 동요 | 핑크퐁 클레이 | 핑크퐁! 인기동요,https://www.youtube.com/watch?v=-78eI7t4_Zs,411717,35,"2020-06-26 00:00:00.0",818,660,#핑크퐁 #클레이 #거북이,키즈,pinkfongko,http://i.ytimg.com/vi/-78eI7t4_Zs/hqdefault.jpg
-7NbQjBSkHo,로꼬님 파스타가 너무 짠데요..?,https://www.youtube.com/watch?v=-7NbQjBSkHo,650510,892,"2020-10-23 00:00:00.0",12769,113,"",cooking,UCgsffS7MfKL6YU3r_U3E-aA,https://i.ytimg.com/vi/-7NbQjBSkHo/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDi4n90RjcesLyq_ltuHVsUZPfIdQ
-9ObkvtSb7g,페이커가 서폿으로 캐리하는 법 [Faker Stream Highlight],https://www.youtube.com/watch?v=-9ObkvtSb7g,680023,8,"2020-09-30 00:00:00.0",10914,170,#LOL,game,UCpJw2H9KKqwCCGQKRh1Bf2w,https://i.ytimg.com/vi/-9ObkvtSb7g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBa7K24QDBfpiUC6yf1KVISO3VwLw
-9XaBoromjs,Drawing A Frog & Flies With Shapes - Preschool,https://www.youtube.com/watch?v=-9XaBoromjs,76147,15,"2020-07-16 00:00:00.0",645,35,#howtodraw #artforkidshub,키즈,ArtforKidsHub,http://i.ytimg.com/vi/-9XaBoromjs/hqdefault.jpg
-Akp3rfdDPA,Alphabet Song + More Learning videos and Baby Rhymes Songs by Kids Channel,https://www.youtube.com/watch?v=-Akp3rfdDPA,33480,58,"2020-03-20 00:00:00.0",112,59,"",키즈,KidsChannel,http://i.ytimg.com/vi/-Akp3rfdDPA/hqdefault.jpg
-ASjdgj2988,?????????? ?? RANDOM PLAY I Watch 30 minutes a day!! I Larva Cartoon I Larva Official Channel,https://www.youtube.com/watch?v=-ASjdgj2988,33005,35,"2020-10-27 00:00:00.0",429,36,#larva #larvacartoon #larvatuba,키즈,LarvaTuba,http://i.ytimg.com/vi/-ASjdgj2988/hqdefault.jpg
-AuSdB-dgX0,또봇V 시즌2 22화 마지막 대결 (2) [TOBOT V2 ANIMATION],https://www.youtube.com/watch?v=-AuSdB-dgX0,157902,15,"2020-08-27 00:00:00.0",954,183,"",키즈,biklonz,http://i.ytimg.com/vi/-AuSdB-dgX0/hqdefault.jpg
-bIBYUHSBPc,?????????? ?? 2D GRAPHICS | Larva Episode 21- 23 | Larva Cartoon |  Larva Official Channel,https://www.youtube.com/watch?v=-bIBYUHSBPc,53817,30,"2020-09-08 00:00:00.0",429,60,#larva #larvacartoon #larvatuba,키즈,LarvaTuba,http://i.ytimg.com/vi/-bIBYUHSBPc/hqdefault.jpg
-ecCc40WTnw,산호 | 호이호이 바닷속 산호! | 바다 동물 | 동물동요 | 핑크퐁! 인기동요,https://www.youtube.com/watch?v=-ecCc40WTnw,76079,15,"2020-05-29 00:00:00.0",183,113,#핑크퐁 #바다동물 #산호,키즈,pinkfongko,http://i.ytimg.com/vi/-ecCc40WTnw/hqdefault.jpg
-FDM8p_q_7c,또봇V 시즌2 4화 엄마가 위험해1 [TOBOT V2 ANIMATION],https://www.youtube.com/watch?v=-FDM8p_q_7c,236330,15,"2020-04-16 00:00:00.0",1173,243,"",키즈,biklonz,http://i.ytimg.com/vi/-FDM8p_q_7c/hqdefault.jpg
-Hgzw5mLdwg,삐리삐 열 꼬마 외계인 | 열 꼬마 아이들 | 우주동요 | 숫자 세기 | 수동요 | 핑크퐁! 인기동요,https://www.youtube.com/watch?v=-Hgzw5mLdwg,60575,15,"2020-05-21 00:00:00.0",168,89,#핑크퐁 #열꼬마아이들 #수동요,키즈,pinkfongko,http://i.ytimg.com/vi/-Hgzw5mLdwg/hqdefault.jpg
-HwZNFjXXG0,뽀로로 챌린지 | 대한민국 정부와 뽀로로가 함께하는 요즘육아챌린지! | 요즘육아송,https://www.youtube.com/watch?v=-HwZNFjXXG0,30093,72,"2020-09-21 00:00:00.0",111,42,#요즘육아챌린지 #아이ing캠페인 #우리는이미육아중,키즈,pororo,http://i.ytimg.com/vi/-HwZNFjXXG0/hqdefault.jpg
-iuNw9dmKeg,뽀로로 병원놀이 동요 | 4화 피부가 간지러워요 | 손씻기 동요 | 뽀로로와노래해요,https://www.youtube.com/watch?v=-iuNw9dmKeg,368923,272,"2020-09-25 00:00:00.0",1344,785,#뽀로로노래 #병원놀이 #뽀로로와노래해요,키즈,pororo,http://i.ytimg.com/vi/-iuNw9dmKeg/hqdefault.jpg
-KHmGYS6YoM,Five Little Monkeys Jumping On The Bed | Nursery Rhymes And Kids Songs - Kids Channel,https://www.youtube.com/watch?v=-KHmGYS6YoM,10316,15,"2020-09-19 00:00:00.0",44,29,#kidschannel #kidschannelnurseryrhymes #carcartoons,키즈,KidsChannel,http://i.ytimg.com/vi/-KHmGYS6YoM/hqdefault.jpg
-MnuWATRxkY,Zombie Town | Schoolies Cartoons | Halloween Song for Children from Kids Channel,https://www.youtube.com/watch?v=-MnuWATRxkY,44525,15,"2020-10-01 00:00:00.0",147,83,"",키즈,KidsChannel,http://i.ytimg.com/vi/-MnuWATRxkY/hqdefault.jpg
-oaATLL2eUM,또봇V 시즌2 16화 엉망진창 체육대회 [TOBOT V2 ANIMATION],https://www.youtube.com/watch?v=-oaATLL2eUM,167424,30,"2020-07-16 00:00:00.0",785,193,"",키즈,biklonz,http://i.ytimg.com/vi/-oaATLL2eUM/hqdefault.jpg
-Op0MBl43EQ,다양한 서프라이즈 에그 장난감으로 재미있고 신나는 장난감 알까기 놀이 동영상,https://www.youtube.com/watch?v=-Op0MBl43EQ,1380904,107,"2018-11-24 00:00:00.0",3457,2014,"",키즈,스위트티비SweetTV,http://i.ytimg.com/vi/-Op0MBl43EQ/hqdefault.jpg
